Agent,Agent Hierarchy Level Two,Routing Profile,StartInterval,EndInterval,Agent on contact time,Occupancy,Online time,Manager Approved time,Training time,Break time,Huddle time,Personal time,Meeting time,Project time,Lunch time,Lead Approved time,Leadership approved time,Unproductive time,Engagement time,Service level 20 seconds,Agent interaction time,Average handle time,Contacts handled
grajenn,Tenured,General Queue,2026-01-15T09:00:00.000-07:00,2026-01-15T09:30:00.000-07:00,1229,85.41%,1800,,,,,361,,,,,,,,100.00%,815,91,14
grajenn,Tenured,General Queue,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,1409,81.78%,1800,,,,,77,,,,,,,,100.00%,1291,103,14
grajenn,Tenured,General Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,1060,92.41%,1800,,,,378,275,,,,,,,,91.67%,700,94,12
grajenn,Tenured,General Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,784,93.33%,1800,,,960,,,,,,,,,,100.00%,628,75,10
grajenn,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,1246,85.31%,1800,,,7,,332,,,,,,,,100.00%,860,68,19
grajenn,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,1561,86.72%,1800,,,,,,,,,,,,,100.00%,1371,56,27
grajenn,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,1494,83.00%,1800,,,,,,,,,,,,,100.00%,1249,65,23
grajenn,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,50,83.33%,1800,,,,,,,,1740,,,,,100.00%,38,50,1
grajenn,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,1490,87.88%,1800,,,,,,,,105,,,,,100.00%,1198,88,17
grajenn,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,858,86.40%,1800,364,,,,,,,,443,,,,75.00%,685,107,8
grajenn,Tenured,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,1585,88.06%,1800,,,,,,,,,,,,,100.00%,1354,59,27
